epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4370.72,1.03886,1.29559,1.32272,0.89626,0.78881,0.86436,0.70554,0.59823,0.54012,0.88896,0.00800131,0.00800131,0.00800131
91,4422.12,1.038,1.28776,1.31731,0.89102,0.79145,0.86536,0.70595,0.59614,0.53882,0.88776,0.00795954,0.00795954,0.00795954
92,4474.1,1.04525,1.29446,1.32207,0.89396,0.79354,0.86594,0.70691,0.59484,0.53844,0.88739,0.00791744,0.00791744,0.00791744
93,4526.58,1.04646,1.29692,1.33007,0.90101,0.79102,0.86781,0.70809,0.59479,0.53838,0.88684,0.00787503,0.00787503,0.00787503
94,4578.05,1.03803,1.28208,1.32194,0.89697,0.7927,0.86736,0.70774,0.59393,0.53793,0.8861,0.00783231,0.00783231,0.00783231
95,4629.72,1.04249,1.28145,1.32108,0.90352,0.7914,0.86758,0.70834,0.59309,0.53703,0.88503,0.00778929,0.00778929,0.00778929
96,4681.99,1.03282,1.26661,1.31869,0.909,0.79244,0.86856,0.70958,0.59155,0.536,0.88345,0.00774596,0.00774596,0.00774596
97,4734.41,1.03407,1.27162,1.31622,0.90891,0.7943,0.86921,0.70972,0.59017,0.53519,0.88277,0.00770234,0.00770234,0.00770234
98,4785.12,1.02679,1.26993,1.31477,0.90861,0.79265,0.8697,0.71069,0.58935,0.53453,0.88247,0.00765843,0.00765843,0.00765843
99,4834.8,1.0271,1.26333,1.30986,0.90908,0.79637,0.87067,0.71147,0.58937,0.53322,0.88233,0.00761423,0.00761423,0.00761423
100,4884.29,1.03143,1.26752,1.31376,0.90235,0.79901,0.87196,0.71238,0.58804,0.53214,0.88157,0.00756976,0.00756976,0.00756976
101,4933.73,1.02543,1.26337,1.31019,0.90067,0.80469,0.87253,0.71376,0.58636,0.53112,0.8809,0.007525,0.007525,0.007525
102,4983.41,1.02348,1.25569,1.30745,0.90032,0.80563,0.87255,0.71379,0.58602,0.53093,0.88047,0.00747997,0.00747997,0.00747997
103,5033.14,1.02495,1.26741,1.3132,0.90374,0.80578,0.87385,0.71446,0.5853,0.5298,0.88006,0.00743468,0.00743468,0.00743468
104,5083.18,1.02576,1.26798,1.31009,0.90669,0.80469,0.87437,0.71509,0.5845,0.52826,0.87952,0.00738913,0.00738913,0.00738913
105,5128.46,1.02001,1.25904,1.30905,0.90701,0.80595,0.87512,0.71612,0.58333,0.52713,0.8788,0.00734332,0.00734332,0.00734332
106,5177.52,1.02588,1.25964,1.31208,0.90747,0.80642,0.87569,0.71577,0.5831,0.52616,0.8787,0.00729725,0.00729725,0.00729725
107,5224.78,1.01663,1.25122,1.30727,0.90637,0.8049,0.87544,0.71607,0.58214,0.52513,0.87825,0.00725094,0.00725094,0.00725094
